SeqNo;Type;DHID;Parent;Name;Latitude;Longitude;MunicipalityCode;Municipality;DistrictCode;District;Description;Authority;DelfiName;THID;TariffProvider;LastOperationDate;SEV
246332;S;de:09671:99257;de:09671:99257;Schöllkrippen, Mühlweg;50,082819;9,24653;09671152;Schöllkrippen;;;;BEG;-;D925C70183B9;-;2026-12-12T00:00:00;nein
246333;Q;de:09671:99257:0:1;de:09671:99257;Schöllkrippen, Mühlweg, Mast 1;50,082923;9,246521;00000000;-;-;-;;BEG;-;-;-;;nein
246334;Q;de:09671:99257:0:2;de:09671:99257;Schöllkrippen, Mühlweg, Mast 2;50,082836;9,246548;00000000;-;-;-;;BEG;-;-;-;;nein
246335;S;de:09671:99258;de:09671:99258;Schöllkrippen, Schule;50,085874;9,252297;09671152;Schöllkrippen;;;;BEG;-;D925C70183BA;-;2026-12-11T00:00:00;nein
246336;Q;de:09671:99258:0:1;de:09671:99258;Schöllkrippen, Schule, Mast 1;50,085891;9,252369;00000000;-;-;-;;BEG;-;-;-;;nein
246337;S;de:09671:99259;de:09671:99259;Schneppenbach, Abzw.;50,095032;9,240933;09671152;Schöllkrippen;;;;BEG;-;D925C70183BB;-;2026-12-12T00:00:00;nein
246338;Q;de:09671:99259:0:1;de:09671:99259;Schneppenbach, Abzw., Mast 1;50,095026;9,240924;00000000;-;-;-;;BEG;-;-;-;;nein
246339;S;de:09671:99260;de:09671:99260;Huckelheim, Schule;50,12685;9,241257;09671159;Westerngrund;;;;BEG;-;D925C70183BC;-;2026-12-12T00:00:00;nein
246340;Q;de:09671:99260:0:1;de:09671:99260;Huckelheim, Schule, Mast 1;50,126832;9,241293;00000000;-;-;-;;BEG;-;-;-;;nein
246341;S;de:09671:99261;de:09671:99261;Schneppenbach, Kindergarten;50,095372;9,237277;09671152;Schöllkrippen;;;;BEG;-;D925C70183BD;-;2026-12-12T00:00:00;nein
246342;Q;de:09671:99261:0:1;de:09671:99261;Schneppenbach, Kindergarten, Mast 1;50,095366;9,237322;00000000;-;-;-;;BEG;-;-;-;;nein
246343;Q;de:09671:99261:0:2;de:09671:99261;Schneppenbach, Kindergarten, Mast 2;50,095378;9,2369;00000000;-;-;-;;BEG;-;-;-;;nein
246344;S;de:09671:99262;de:09671:99262;Schneppenbach, Mitte;50,098409;9,231142;09671152;Schöllkrippen;;;;BEG;-;D925C70183BE;-;2026-12-12T00:00:00;nein
246345;Q;de:09671:99262:0:1;de:09671:99262;Schneppenbach, Mitte, Mast 1;50,098778;9,230091;00000000;-;-;-;;BEG;-;-;-;;nein
246346;Q;de:09671:99262:0:2;de:09671:99262;Schneppenbach, Mitte, Mast 2;50,098299;9,231339;00000000;-;-;-;;BEG;-;-;-;;nein
246347;S;de:09671:99263;de:09671:99263;Schneppenbach, Möbelzentrum Spessart;50,09441;9,240871;09671152;Schöllkrippen;;;;BEG;-;D925C70183BF;-;2026-12-12T00:00:00;nein
246348;Q;de:09671:99263:0:1;de:09671:99263;Schneppenbach, Möbelzentrum Spessart, Ma;50,094721;9,240457;00000000;-;-;-;;BEG;-;-;-;;nein
246349;Q;de:09671:99263:0:2;de:09671:99263;Schneppenbach, Möbelzentrum Spessart, Ma;50,094363;9,240996;00000000;-;-;-;;BEG;-;-;-;;nein
246350;S;de:09671:99264;de:09671:99264;Hofstädten, Ortsmitte;50,108216;9,216957;09671152;Schöllkrippen;;;;BEG;-;D925C70183C0;-;2026-12-12T00:00:00;nein
246351;Q;de:09671:99264:0:1;de:09671:99264;Hofstädten, Ortsmitte, Mast 1;50,108342;9,216966;00000000;-;-;-;;BEG;-;-;-;;nein
246352;Q;de:09671:99264:0:2;de:09671:99264;Hofstädten, Ortsmitte, Mast 2;50,108653;9,216823;00000000;-;-;-;;BEG;-;-;-;;nein
246353;S;de:09671:99265;de:09671:99265;Hofstädten, Ost;50,107507;9,220039;09671152;Schöllkrippen;;;;BEG;-;D925C70183C1;-;2026-12-12T00:00:00;nein
246354;Q;de:09671:99265:0:1;de:09671:99265;Hofstädten, Ost, Mast 1;50,107588;9,219904;00000000;-;-;-;;BEG;-;-;-;;nein
246355;Q;de:09671:99265:0:2;de:09671:99265;Hofstädten, Ost, Mast 2;50,107507;9,220101;00000000;-;-;-;;BEG;-;-;-;;nein
246356;S;de:09671:99266;de:09671:99266;Huckelheim, An der Grundmühle;50,121021;9,239218;09671159;Westerngrund;;;;BEG;-;D925C70183C2;-;2026-12-12T00:00:00;nein
246357;Q;de:09671:99266:0:1;de:09671:99266;Huckelheim, An der Grundmühle, Mast 1;50,120825;9,239388;00000000;-;-;-;;BEG;-;-;-;;nein
246358;Q;de:09671:99266:0:2;de:09671:99266;Huckelheim, An der Grundmühle, Mast 2;50,120912;9,239352;00000000;-;-;-;;BEG;-;-;-;;nein
246359;S;de:09671:99267;de:09671:99267;Krombach, Kreuzgasse;50,09468;9,20642;09671138;Krombach;;;;BEG;-;D925C70183C3;-;2026-12-11T00:00:00;nein
246360;Q;de:09671:99267:0:1;de:09671:99267;Krombach, Kreuzgasse, Mast 1;50,094703;9,206456;00000000;-;-;-;;BEG;-;-;-;;nein
246361;Q;de:09671:99267:0:2;de:09671:99267;Krombach, Kreuzgasse, Mast 2;50,09464;9,206339;00000000;-;-;-;;BEG;-;-;-;;nein
246362;S;de:09671:99268;de:09671:99268;Krombach, Schule;50,086202;9,205594;09671138;Krombach;;;;BEG;-;D925C70183C4;-;2026-12-11T00:00:00;nein
246363;Q;de:09671:99268:0:1;de:09671:99268;Krombach, Schule, Mast 1;50,086156;9,205603;00000000;-;-;-;;BEG;-;-;-;;nein
246364;Q;de:09671:99268:0:2;de:09671:99268;Krombach, Schule, Mast 2;50,086156;9,205603;00000000;-;-;-;;BEG;-;-;-;;nein
246365;S;de:09671:99269;de:09671:99269;Krombach, Kalmushof;50,085995;9,219401;09671138;Krombach;;;;BEG;-;D925C70183C5;-;2026-12-12T00:00:00;nein
246366;Q;de:09671:99269:0:1;de:09671:99269;Krombach, Kalmushof, Mast 1;50,085995;9,21941;00000000;-;-;-;;BEG;-;-;-;;nein
246367;Q;de:09671:99269:0:2;de:09671:99269;Krombach, Kalmushof, Mast 2;50,086001;9,219266;00000000;-;-;-;;BEG;-;-;-;;nein
246368;S;de:09671:99270;de:09671:99270;Oberschur, Spessartstraße;50,085787;9,188687;09671138;Krombach;;;;BEG;-;D925C70183C6;-;2026-12-12T00:00:00;nein
246369;Q;de:09671:99270:0:1;de:09671:99270;Oberschur, Spessartstr., Mast 1;50,085764;9,188669;00000000;-;-;-;;BEG;-;-;-;;nein
246370;S;de:09671:99271;de:09671:99271;Geiselbach, Magdalenenbrunnen;50,12219;9,199548;09671119;Geiselbach;;;;BEG;-;D925C70183C7;-;2026-12-12T00:00:00;nein
246371;Q;de:09671:99271:0:1;de:09671:99271;Geiselbach, Magdalenenbrunnen, Mast 1;50,122161;9,199611;00000000;-;-;-;;BEG;-;-;-;;nein
246372;Q;de:09671:99271:0:2;de:09671:99271;Geiselbach, Magdalenenbrunnen, Mast 2;50,122161;9,199611;00000000;-;-;-;;BEG;-;-;-;;nein
246373;S;de:09671:99272;de:09671:99272;Geiselbach, Schule;50,123872;9,196036;09671119;Geiselbach;;;;BEG;-;D925C70183C8;-;2026-12-11T00:00:00;nein
246374;Q;de:09671:99272:0:1;de:09671:99272;Geiselbach, Schule, Mast 1;50,123878;9,196116;00000000;-;-;-;;BEG;-;-;-;;nein
246375;S;de:09671:99273;de:09671:99273;Omersbach, Marienkapelle;50,109345;9,192002;09671119;Geiselbach;;;;BEG;-;D925C70183C9;-;2026-12-12T00:00:00;nein
246376;Q;de:09671:99273:0:1;de:09671:99273;Omersbach, Marienkapelle, Mast 1;50,10935;9,192011;00000000;-;-;-;;BEG;-;-;-;;nein
246377;Q;de:09671:99273:0:2;de:09671:99273;Omersbach, Marienkapelle, Mast 2;50,109345;9,192011;00000000;-;-;-;;BEG;-;-;-;;nein
246378;S;de:09671:99274;de:09671:99274;Omersbach, Am Weiher;50,106274;9,194571;09671119;Geiselbach;;;;BEG;-;D925C70183CA;-;2026-12-12T00:00:00;nein
246379;Q;de:09671:99274:0:1;de:09671:99274;Omersbach, Am Weiher, Mast 1;50,106303;9,194688;00000000;-;-;-;;BEG;-;-;-;;nein
246380;Q;de:09671:99274:0:2;de:09671:99274;Omersbach, Am Weiher, Mast 2;50,106343;9,194535;00000000;-;-;-;;BEG;-;-;-;;nein
246381;S;de:09671:99275;de:09671:99275;Krombach, Abzw. Oberschur;50,082957;9,206474;09671138;Krombach;;;;BEG;-;D925C70183CB;-;2026-12-12T00:00:00;nein
246382;Q;de:09671:99275:0:1;de:09671:99275;Krombach, Abzw. Oberschur, Mast 1;50,08298;9,206483;00000000;-;-;-;;BEG;-;-;-;;nein
246383;Q;de:09671:99275:0:2;de:09671:99275;Krombach, Abzw. Oberschur, Mast 2;50,083101;9,206582;00000000;-;-;-;;BEG;-;-;-;;nein
246384;S;de:09671:99276;de:09671:99276;Schöllkrippen, Sportzentrum;50,084537;9,251102;09671152;Schöllkrippen;;;;BEG;-;D925C70183CC;-;2026-12-11T00:00:00;nein
246385;Q;de:09671:99276:0:1;de:09671:99276;Schöllkrippen, Sportzentrum, Mast 1;50,084542;9,251111;00000000;-;-;-;;BEG;-;-;-;;nein
246386;S;de:09671:99277;de:09671:99277;Vormwald, Feuerwehrhaus;50,073716;9,273569;09671153;Sommerkahl;;;;BEG;-;D925C70183CD;-;2026-12-11T00:00:00;nein
246387;Q;de:09671:99277:0:1;de:09671:99277;Vormwald, Feuerwehrhaus, Mast 1;50,073682;9,273758;00000000;-;-;-;;BEG;-;-;-;;nein
246388;Q;de:09671:99277:0:2;de:09671:99277;Vormwald, Feuerwehrhaus, Mast 2;50,073728;9,273614;00000000;-;-;-;;BEG;-;-;-;;nein
246389;S;de:09671:99278;de:09671:99278;Krombach, Holzgasse;50,094629;9,205234;09671138;Krombach;;;;BEG;-;D925C70183CE;-;2026-12-12T00:00:00;nein
246390;Q;de:09671:99278:0:1;de:09671:99278;Krombach, Holzgasse;50,094565;9,205414;00000000;-;-;-;;BEG;-;-;-;;nein
246391;S;de:09671:99279;de:09671:99279;Jakobsthal, Engländer;50,056371;9,312367;09671126;Heigenbrücken;;;;BEG;-;D925C70183CF;-;2026-12-12T00:00:00;nein
